ID,Name,Moves
111,rhyhorn,"""swords-dance, stomp, sand-attack, headbutt, horn-attack, fury-attack, horn-drill, tackle, body-slam, take-down, thrash, double-edge, tail-whip, leer, roar, flamethrower, ice-beam, blizzard, counter, strength, thunderbolt, thunder, rock-throw, earthquake, fissure, dig, toxic, rage, mimic, double-team, bide, fire-blast, skull-bash, rest, rock-slide, substitute, thief, snore, curse, reversal, spite, protect, scary-face, mud-slap, zap-cannon, icy-wind, sandstorm, endure, rollout, swagger, attract, sleep-talk, return, frustration, magnitude, megahorn, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, ancient-power, rock-smash, uproar, facade, superpower, endeavor, secret-power, crush-claw, rock-tomb, mud-shot, rock-blast, shock-wave, natural-gift, metal-burst, payback, rock-polish, poison-jab, aqua-tail, dragon-pulse, dragon-rush, earth-power, thunder-fang, ice-fang, fire-fang, rock-climb, stone-edge, captivate, stealth-rock, guard-split, smack-down, round, chip-away, incinerate, bulldoze, drill-run, rototiller, confide, high-horsepower, smart-strike, stomping-tantrum, scorching-sands"""
112,rhydon,"""mega-punch, pay-day, fire-punch, ice-punch, thunder-punch, swords-dance, cut, stomp, mega-kick, sand-attack, headbutt, horn-attack, fury-attack, horn-drill, tackle, body-slam, take-down, double-edge, tail-whip, leer, roar, flamethrower, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, thunderbolt, thunder, rock-throw, earthquake, fissure, dig, toxic, rage, mimic, double-team, bide, fire-blast, skull-bash, rest, rock-slide, substitute, thief, snore, curse, reversal, spite, protect, scary-face, mud-slap, zap-cannon, icy-wind, outrage, sandstorm, endure, rollout, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, megahorn, iron-tail, hidden-power, rain-dance, sunny-day, crunch, ancient-power, rock-smash, whirlpool, uproar, facade, focus-punch, helping-hand, superpower, brick-break, endeavor, secret-power, rock-tomb, iron-defense, block, mud-shot, rock-blast, shock-wave, hammer-arm, natural-gift, payback, fling, rock-polish, poison-jab, aqua-tail, dragon-pulse, focus-blast, earth-power, giga-impact, avalanche, shadow-claw, thunder-fang, ice-fang, fire-fang, rock-climb, stone-edge, captivate, stealth-rock, smack-down, heavy-slam, round, chip-away, incinerate, bulldoze, dragon-tail, drill-run, heat-crash, confide, power-up-punch, high-horsepower, smart-strike, brutal-swing, stomping-tantrum, body-press, breaking-swipe, meteor-beam, scorching-sands"""
113,chansey,"""pound, double-slap, mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, growl, sing, flamethrower, water-gun, ice-beam, blizzard, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, solar-beam, thunderbolt, thunder-wave, thunder, earthquake, toxic, psychic, rage, teleport, mimic, double-team, minimize, defense-curl, light-screen, reflect, bide, metronome, egg-bomb, fire-blast, swift, skull-bash, soft-boiled, dream-eater, flash, psywave, rest, rock-slide, tri-attack, substitute, thief, snore, curse, protect, sweet-kiss, mud-slap, zap-cannon, icy-wind, sandstorm, endure, charm, rollout, swagger, attract, sleep-talk, heal-bell, return, present, frustration, safeguard, dynamic-punch, iron-tail, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, rock-smash, uproar, hail, facade, focus-punch, helping-hand, recycle, brick-break, endeavor, skill-swap, refresh, snatch, secret-power, hyper-voice, aromatherapy, rock-tomb, covet, calm-mind, shock-wave, water-pulse, gravity, healing-wish, natural-gift, fling, copycat, last-resort, drain-punch, focus-blast, giga-impact, mud-bomb, zen-headbutt, rock-climb, captivate, stealth-rock, grass-knot, charge-beam, telekinesis, round, echoed-voice, stored-power, ally-switch, heal-pulse, incinerate, retaliate, bestow, bulldoze, work-up, wild-charge, disarming-voice, confide, electric-terrain, dazzling-gleam, power-up-punch, laser-focus, stomping-tantrum, life-dew, tera-blast, snowscape, trailblaze, chilling-water"""
114,tangela,"""swords-dance, cut, bind, slam, vine-whip, headbutt, body-slam, take-down, double-edge, hyper-beam, absorb, mega-drain, leech-seed, growth, solar-beam, poison-powder, stun-spore, sleep-powder, toxic, confusion, rage, mimic, double-team, reflect, bide, skull-bash, constrict, amnesia, flash, rest, substitute, thief, snore, curse, flail, protect, sludge-bomb, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, pain-split, sweet-scent, synthesis, hidden-power, sunny-day, psych-up, ancient-power, rock-smash, facade, nature-power, ingrain, knock-off, endeavor, secret-power, tickle, bullet-seed, shock-wave, wake-up-slap, natural-gift, wring-out, power-swap, worry-seed, seed-bomb, energy-ball, giga-impact, leaf-storm, power-whip, captivate, grass-knot, rage-powder, round, grassy-terrain, confide, infestation, grassy-glide"""
115,kangaskhan,"""pound, comet-punch, mega-punch, fire-punch, ice-punch, thunder-punch, cut, stomp, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, leer, bite, growl, roar, disable, flamethrower, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, submission, low-kick, counter, seismic-toss, strength, solar-beam, thunderbolt, thunder, earthquake, fissure, dig, toxic, rage, mimic, double-team, focus-energy, bide, fire-blast, skull-bash, dizzy-punch, rest, rock-slide, substitute, thief, snore, curse, reversal, spite, protect, mud-slap, zap-cannon, foresight, icy-wind, outrage, sandstorm, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, dynamic-punch, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, whirlpool, beat-up, fake-out, uproar, hail, facade, focus-punch, helping-hand, brick-break, endeavor, secret-power, crush-claw, rock-tomb, aerial-ace, covet, shock-wave, water-pulse, hammer-arm, natural-gift, assurance, fling, trump-card, last-resort, sucker-punch, aqua-tail, drain-punch, focus-blast, giga-impact, avalanche, shadow-claw, rock-climb, captivate, double-hit, round, chip-away, circle-throw, incinerate, retaliate, bulldoze, work-up, confide, power-up-punch, terrain-pulse"""
116,horsea,"""razor-wind, headbutt, take-down, double-edge, leer, disable, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, aurora-beam, dragon-rage, toxic, agility, rage, mimic, double-team, smokescreen, focus-energy, bide, waterfall, swift, skull-bash, bubble, splash, rest, substitute, snore, curse, flail, protect, octazooka, icy-wind, outrage, endure, swagger, attract, sleep-talk, return, frustration, dragon-breath, hidden-power, twister, rain-dance, whirlpool, hail, facade, secret-power, dive, signal-beam, muddy-water, bounce, dragon-dance, water-pulse, brine, natural-gift, dragon-pulse, flash-cannon, captivate, round, clear-smog, scald, confide, laser-focus, liquidation, scale-shot, flip-turn"""
117,seadra,"""headbutt, take-down, double-edge, leer, disable, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, toxic, agility, rage, mimic, double-team, smokescreen, focus-energy, bide, waterfall, swift, skull-bash, bubble, rest, substitute, snore, curse, protect, icy-wind, outrage, endure, swagger, attract, sleep-talk, return, frustration, dragon-breath, hidden-power, twister, rain-dance, whirlpool, hail, facade, secret-power, dive, signal-beam, muddy-water, bounce, dragon-dance, water-pulse, brine, natural-gift, dragon-pulse, giga-impact, flash-cannon, captivate, round, clear-smog, scald, confide, laser-focus, liquidation, scale-shot, flip-turn"""
118,goldeen,"""swords-dance, headbutt, horn-attack, fury-attack, horn-drill, body-slam, take-down, double-edge, tail-whip, supersonic, water-gun, hydro-pump, surf, ice-beam, blizzard, psybeam, bubble-beam, peck, toxic, agility, quick-attack, rage, mimic, double-team, haze, bide, waterfall, swift, skull-bash, rest, substitute, snore, curse, flail, protect, mud-slap, icy-wind, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, megahorn, hidden-power, rain-dance, whirlpool, hail, facade, knock-off, secret-power, dive, mud-sport, signal-beam, muddy-water, bounce, mud-shot, water-sport, water-pulse, natural-gift, acupressure, aqua-ring, poison-jab, aqua-tail, captivate, soak, round, scald, drill-run, confide, throat-chop, smart-strike, scale-shot, flip-turn"""
119,seaking,"""swords-dance, headbutt, horn-attack, fury-attack, horn-drill, body-slam, take-down, double-edge, tail-whip, supersonic, water-gun, hydro-pump, surf, ice-beam, blizzard, psybeam, bubble-beam, hyper-beam, peck, toxic, agility, quick-attack, rage, mimic, double-team, bide, waterfall, swift, skull-bash, rest, substitute, snore, curse, flail, protect, mud-slap, icy-wind, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, megahorn, hidden-power, rain-dance, whirlpool, hail, facade, knock-off, secret-power, dive, signal-beam, muddy-water, bounce, mud-shot, water-sport, water-pulse, natural-gift, aqua-ring, poison-jab, aqua-tail, giga-impact, captivate, soak, round, scald, drill-run, confide, throat-chop, smart-strike, scale-shot, flip-turn"""
120,staryu,"""headbutt, tackle, take-down, double-edge, supersonic, water-gun, hydro-pump, surf, ice-beam, blizzard, psybeam, bubble-beam, aurora-beam, thunderbolt, thunder-wave, thunder, toxic, psychic, rage, teleport, mimic, double-team, recover, harden, minimize, confuse-ray, barrier, light-screen, reflect, bide, waterfall, swift, skull-bash, flash, psywave, rest, tri-attack, substitute, snore, curse, protect, zap-cannon, icy-wind, endure, rollout, swagger, attract, sleep-talk, return, frustration, pain-split, rapid-spin, hidden-power, twister, rain-dance, psych-up, whirlpool, hail, facade, magic-coat, recycle, secret-power, dive, camouflage, cosmic-power, signal-beam, water-pulse, gravity, gyro-ball, brine, natural-gift, power-gem, flash-cannon, round, scald, reflect-type, confide, dazzling-gleam, flip-turn"""
121,starmie,"""headbutt, tackle, take-down, double-edge, water-gun, hydro-pump, surf, ice-beam, blizzard, psybeam, bubble-beam, hyper-beam, thunderbolt, thunder-wave, thunder, toxic, psychic, agility, rage, teleport, mimic, double-team, recover, harden, minimize, confuse-ray, light-screen, reflect, bide, waterfall, swift, skull-bash, dream-eater, flash, psywave, rest, tri-attack, substitute, nightmare, snore, curse, protect, zap-cannon, icy-wind, endure, rollout, swagger, attract, sleep-talk, return, frustration, pain-split, rapid-spin, hidden-power, twister, rain-dance, psych-up, whirlpool, hail, facade, trick, magic-coat, recycle, skill-swap, secret-power, dive, cosmic-power, signal-beam, water-pulse, gravity, gyro-ball, brine, natural-gift, power-gem, giga-impact, avalanche, psycho-cut, flash-cannon, trick-room, grass-knot, wonder-room, psyshock, telekinesis, round, ally-switch, scald, confide, dazzling-gleam, spotlight, expanding-force, meteor-beam, flip-turn"""
122,mr-mime,"""pound, double-slap, mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick, headbutt, body-slam, take-down, double-edge, psybeam, hyper-beam, submission, counter, seismic-toss, solar-beam, thunderbolt, thunder-wave, thunder, toxic, confusion, psychic, hypnosis, meditate, rage, teleport, mimic, double-team, confuse-ray, barrier, light-screen, reflect, bide, metronome, skull-bash, dream-eater, flash, psywave, rest, substitute, thief, nightmare, snore, curse, protect, mud-slap, zap-cannon, icy-wind, endure, charm, swagger, attract, sleep-talk, return, frustration, safeguard, dynamic-punch, baton-pass, encore, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, future-sight, fake-out, uproar, torment, facade, focus-punch, taunt, helping-hand, trick, role-play, magic-coat, recycle, brick-break, skill-swap, snatch, secret-power, teeter-dance, tickle, signal-beam, aerial-ace, iron-defense, covet, magical-leaf, calm-mind, shock-wave, wake-up-slap, natural-gift, payback, fling, copycat, power-swap, guard-swap, sucker-punch, drain-punch, focus-blast, energy-ball, giga-impact, nasty-plot, zen-headbutt, trick-room, captivate, grass-knot, charge-beam, wide-guard, power-split, wonder-room, psyshock, telekinesis, magic-room, foul-play, round, stored-power, quick-guard, ally-switch, misty-terrain, confide, mystical-fire, dazzling-gleam, infestation, power-up-punch, psychic-terrain, expanding-force"""
123,scyther,"""razor-wind, swords-dance, cut, wing-attack, headbutt, take-down, double-edge, leer, hyper-beam, counter, toxic, agility, quick-attack, rage, mimic, double-team, light-screen, focus-energy, bide, swift, skull-bash, rest, slash, substitute, thief, snore, curse, reversal, protect, scary-face, detect, endure, false-swipe, swagger, fury-cutter, steel-wing, attract, sleep-talk, return, frustration, safeguard, baton-pass, pursuit, hidden-power, rain-dance, sunny-day, rock-smash, facade, helping-hand, brick-break, knock-off, secret-power, air-cutter, silver-wind, aerial-ace, roost, natural-gift, feint, tailwind, u-turn, close-combat, assurance, night-slash, air-slash, x-scissor, bug-buzz, vacuum-wave, giga-impact, psycho-cut, defog, cross-poison, captivate, bug-bite, double-hit, ominous-wind, round, quick-guard, acrobatics, struggle-bug, confide, laser-focus, brutal-swing, dual-wingbeat, tera-blast, pounce, trailblaze"""
124,jynx,"""pound, double-slap, mega-punch, ice-punch, mega-kick, headbutt, body-slam, take-down, thrash, double-edge, sing, water-gun, ice-beam, blizzard, bubble-beam, hyper-beam, submission, counter, seismic-toss, toxic, confusion, psychic, rage, teleport, mimic, screech, double-team, light-screen, reflect, bide, metronome, lick, skull-bash, dream-eater, lovely-kiss, flash, psywave, rest, substitute, thief, nightmare, snore, curse, powder-snow, protect, sweet-kiss, mud-slap, perish-song, icy-wind, endure, charm, swagger, mean-look, attract, sleep-talk, heal-bell, return, frustration, dynamic-punch, encore, sweet-scent, hidden-power, rain-dance, psych-up, shadow-ball, future-sight, uproar, hail, torment, facade, focus-punch, taunt, helping-hand, trick, role-play, magic-coat, recycle, brick-break, skill-swap, secret-power, hyper-voice, fake-tears, signal-beam, icicle-spear, covet, calm-mind, water-pulse, wake-up-slap, natural-gift, payback, fling, wring-out, copycat, drain-punch, focus-blast, energy-ball, giga-impact, nasty-plot, avalanche, psycho-cut, zen-headbutt, trick-room, captivate, grass-knot, wonder-room, psyshock, telekinesis, magic-room, round, echoed-voice, stored-power, ally-switch, frost-breath, heart-stamp, draining-kiss, confide, power-up-punch, psychic-terrain, aurora-veil, expanding-force, triple-axel"""
125,electabuzz,"""mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick, headbutt, body-slam, take-down, double-edge, leer, hyper-beam, submission, low-kick, counter, seismic-toss, strength, thunder-shock, thunderbolt, thunder-wave, thunder, toxic, psychic, quick-attack, rage, teleport, mimic, screech, double-team, light-screen, reflect, bide, metronome, swift, skull-bash, flash, psywave, rest, substitute, thief, snore, curse, protect, mud-slap, zap-cannon, detect, endure, swagger, attract, sleep-talk, return, frustration, dynamic-punch, iron-tail, hidden-power, rain-dance, rock-smash, uproar, facade, focus-punch, charge, taunt, helping-hand, brick-break, secret-power, signal-beam, covet, shock-wave, natural-gift, fling, magnet-rise, focus-blast, giga-impact, rock-climb, discharge, captivate, charge-beam, electro-ball, low-sweep, round, volt-switch, electroweb, wild-charge, dual-chop, confide, power-up-punch, rising-voltage"""
126,magmar,"""mega-punch, fire-punch, thunder-punch, mega-kick, headbutt, body-slam, take-down, double-edge, leer, ember, flamethrower, hyper-beam, submission, low-kick, counter, seismic-toss, strength, fire-spin, toxic, psychic, rage, teleport, mimic, screech, double-team, smokescreen, confuse-ray, focus-energy, bide, metronome, smog, fire-blast, skull-bash, psywave, rest, substitute, thief, flame-wheel, snore, curse, protect, scary-face, feint-attack, mud-slap, detect, endure, swagger, attract, sleep-talk, return, frustration, dynamic-punch, iron-tail, hidden-power, sunny-day, rock-smash, uproar, heat-wave, will-o-wisp, facade, focus-punch, taunt, helping-hand, brick-break, secret-power, overheat, covet, natural-gift, fling, power-swap, flare-blitz, focus-blast, giga-impact, rock-climb, lava-plume, captivate, flame-burst, flame-charge, low-sweep, round, clear-smog, incinerate, dual-chop, confide, power-up-punch, burning-jealousy, scorching-sands"""
127,pinsir,"""vice-grip, guillotine, swords-dance, cut, bind, headbutt, fury-attack, body-slam, take-down, thrash, double-edge, hyper-beam, submission, seismic-toss, strength, string-shot, earthquake, dig, toxic, quick-attack, rage, mimic, double-team, harden, focus-energy, bide, rest, rock-slide, slash, substitute, thief, snore, curse, flail, reversal, protect, feint-attack, outrage, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, vital-throw, hidden-power, rain-dance, sunny-day, rock-smash, facade, focus-punch, helping-hand, superpower, revenge, brick-break, knock-off, secret-power, rock-tomb, iron-defense, bulk-up, natural-gift, feint, close-combat, fling, me-first, x-scissor, focus-blast, giga-impact, rock-climb, stone-edge, captivate, stealth-rock, bug-bite, double-hit, smack-down, storm-throw, round, struggle-bug, bulldoze, confide, high-horsepower, throat-chop, brutal-swing"""
128,tauros,"""stomp, headbutt, horn-attack, horn-drill, tackle, body-slam, take-down, thrash, double-edge, tail-whip, leer, flamethrower, surf, ice-beam, blizzard, hyper-beam, strength, solar-beam, thunderbolt, thunder, earthquake, fissure, dig, toxic, rage, mimic, double-team, focus-energy, bide, fire-blast, skull-bash, rest, rock-slide, substitute, thief, snore, curse, reversal, spite, protect, scary-face, zap-cannon, icy-wind, outrage, sandstorm, endure, swagger, attract, sleep-talk, return, frustration, megahorn, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, shadow-ball, rock-smash, whirlpool, uproar, facade, helping-hand, role-play, revenge, endeavor, secret-power, rock-tomb, shock-wave, water-pulse, natural-gift, close-combat, payback, assurance, giga-impact, zen-headbutt, rock-climb, iron-head, stone-edge, captivate, round, incinerate, retaliate, bulldoze, work-up, wild-charge, confide, high-horsepower, throat-chop, smart-strike, stomping-tantrum, lash-out, tera-blast, raging-bull, trailblaze"""
129,magikarp,"""tackle, hydro-pump, splash, flail, bounce"""
130,gyarados,"""bind, headbutt, tackle, body-slam, take-down, thrash, double-edge, leer, bite, roar, flamethrower, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, strength, dragon-rage, thunderbolt, thunder-wave, thunder, earthquake, toxic, rage, mimic, double-team, reflect, bide, fire-blast, waterfall, skull-bash, splash, rest, substitute, snore, curse, flail, spite, protect, scary-face, zap-cannon, icy-wind, outrage, sandstorm, endure, swagger, attract, sleep-talk, return, frustration, dragon-breath, iron-tail, hidden-power, twister, rain-dance, sunny-day, crunch, rock-smash, whirlpool, uproar, hail, torment, facade, taunt, helping-hand, secret-power, dive, muddy-water, bounce, dragon-dance, water-pulse, brine, natural-gift, payback, dark-pulse, aqua-tail, dragon-pulse, giga-impact, avalanche, ice-fang, power-whip, iron-head, stone-edge, captivate, round, scald, incinerate, bulldoze, dragon-tail, hurricane, confide, brutal-swing, scale-shot, lash-out, tera-blast, chilling-water"""
131,lapras,"""headbutt, horn-drill, body-slam, take-down, double-edge, growl, roar, sing, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, aurora-beam, hyper-beam, strength, solar-beam, dragon-rage, thunderbolt, thunder, fissure, toxic, psychic, rage, mimic, double-team, confuse-ray, reflect, bide, waterfall, skull-bash, dream-eater, psywave, rest, substitute, nightmare, snore, curse, protect, zap-cannon, foresight, perish-song, icy-wind, outrage, endure, charm, swagger, attract, sleep-talk, heal-bell, return, frustration, safeguard, megahorn, dragon-breath, iron-tail, hidden-power, rain-dance, ancient-power, future-sight, rock-smash, whirlpool, hail, facade, helping-hand, refresh, secret-power, dive, hyper-voice, weather-ball, tickle, signal-beam, sheer-cold, block, dragon-dance, shock-wave, water-pulse, brine, natural-gift, aqua-tail, dragon-pulse, giga-impact, avalanche, ice-shard, zen-headbutt, iron-head, captivate, round, echoed-voice, bulldoze, frost-breath, drill-run, freeze-dry, confide, sparkling-aria, smart-strike, liquidation, body-press, life-dew"""
132,ditto,"""transform"""
133,eevee,"""pay-day, double-kick, sand-attack, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, growl, dig, toxic, quick-attack, rage, mimic, double-team, reflect, focus-energy, bide, swift, skull-bash, rest, substitute, snore, curse, flail, protect, mud-slap, detect, endure, charm, swagger, attract, sleep-talk, heal-bell, return, frustration, baton-pass, iron-tail, hidden-power, rain-dance, sunny-day, shadow-ball, facade, helping-hand, wish, yawn, refresh, secret-power, hyper-voice, weather-ball, fake-tears, tickle, covet, calm-mind, natural-gift, trump-card, copycat, last-resort, captivate, synchronoise, round, echoed-voice, stored-power, retaliate, work-up, confide, baby-doll-eyes, laser-focus, tera-blast, trailblaze"""
134,vaporeon,"""pay-day, double-kick, sand-attack, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, bite, growl, roar, mist, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, aurora-beam, hyper-beam, strength, dig, toxic, quick-attack, rage, mimic, double-team, haze, reflect, focus-energy, bide, waterfall, swift, skull-bash, acid-armor, rest, substitute, snore, curse, protect, mud-slap, icy-wind, detect, endure, charm, swagger, attract, sleep-talk, heal-bell, return, frustration, baton-pass, iron-tail, hidden-power, rain-dance, sunny-day, shadow-ball, rock-smash, whirlpool, hail, facade, helping-hand, yawn, secret-power, dive, hyper-voice, weather-ball, fake-tears, signal-beam, muddy-water, covet, calm-mind, water-pulse, brine, natural-gift, copycat, last-resort, aqua-ring, aqua-tail, giga-impact, captivate, round, echoed-voice, stored-power, scald, retaliate, work-up, confide, baby-doll-eyes, laser-focus, liquidation, flip-turn, tera-blast, trailblaze, chilling-water"""
135,jolteon,"""pay-day, double-kick, sand-attack, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, pin-missile, bite, growl, roar, hyper-beam, strength, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, quick-attack, rage, mimic, double-team, light-screen, reflect, focus-energy, bide, swift, skull-bash, flash, rest, substitute, snore, curse, protect, mud-slap, zap-cannon, detect, endure, charm, false-swipe, swagger, attract, sleep-talk, heal-bell, return, frustration, baton-pass, iron-tail, hidden-power, rain-dance, sunny-day, shadow-ball, rock-smash, facade, helping-hand, yawn, secret-power, hyper-voice, weather-ball, fake-tears, signal-beam, covet, calm-mind, shock-wave, natural-gift, copycat, last-resort, magnet-rise, giga-impact, thunder-fang, discharge, captivate, charge-beam, electro-ball, round, echoed-voice, stored-power, retaliate, volt-switch, work-up, wild-charge, confide, eerie-impulse, electric-terrain, baby-doll-eyes, laser-focus, rising-voltage, tera-blast, trailblaze"""
136,flareon,"""pay-day, double-kick, sand-attack, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, leer, bite, growl, roar, ember, flamethrower, hyper-beam, strength, fire-spin, dig, toxic, quick-attack, rage, mimic, double-team, reflect, focus-energy, bide, smog, fire-blast, swift, skull-bash, rest, substitute, snore, curse, protect, scary-face, mud-slap, zap-cannon, detect, endure, charm, swagger, attract, sleep-talk, heal-bell, return, frustration, baton-pass, iron-tail, hidden-power, rain-dance, sunny-day, shadow-ball, rock-smash, heat-wave, will-o-wisp, facade, helping-hand, superpower, yawn, secret-power, hyper-voice, weather-ball, fake-tears, overheat, covet, calm-mind, natural-gift, copycat, last-resort, flare-blitz, giga-impact, fire-fang, lava-plume, captivate, flame-charge, round, echoed-voice, stored-power, incinerate, retaliate, work-up, confide, mystical-fire, baby-doll-eyes, laser-focus, burning-jealousy, scorching-sands, tera-blast, trailblaze"""
137,porygon,"""headbutt, tackle, take-down, double-edge, ice-beam, blizzard, psybeam, hyper-beam, solar-beam, thunder-shock, thunderbolt, thunder-wave, thunder, toxic, psychic, agility, rage, teleport, mimic, double-team, recover, barrier, reflect, bide, swift, skull-bash, dream-eater, flash, psywave, rest, sharpen, conversion, tri-attack, substitute, thief, nightmare, snore, curse, conversion-2, protect, zap-cannon, icy-wind, lock-on, endure, swagger, sleep-talk, return, frustration, pain-split, iron-tail, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, facade, trick, magic-coat, recycle, secret-power, signal-beam, aerial-ace, shock-wave, gravity, natural-gift, power-swap, guard-swap, last-resort, magnet-rise, giga-impact, zen-headbutt, trick-room, discharge, charge-beam, wonder-room, psyshock, telekinesis, foul-play, round, ally-switch, electroweb, confide, eerie-impulse, speed-swap"""
138,omanyte,"""bind, slam, sand-attack, headbutt, horn-attack, body-slam, take-down, double-edge, leer, bite, supersonic, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, aurora-beam, rock-throw, toxic, rage, mimic, double-team, withdraw, haze, reflect, bide, waterfall, spike-cannon, constrict, rest, rock-slide, substitute, thief, snore, curse, protect, spikes, icy-wind, sandstorm, endure, rollout, swagger, attract, sleep-talk, return, frustration, hidden-power, rain-dance, ancient-power, rock-smash, whirlpool, hail, facade, knock-off, secret-power, dive, rock-tomb, tickle, muddy-water, iron-defense, mud-shot, rock-blast, water-pulse, gyro-ball, brine, natural-gift, wring-out, toxic-spikes, rock-polish, earth-power, captivate, stealth-rock, smack-down, round, scald, shell-smash, reflect-type, confide, meteor-beam"""
139,omastar,"""bind, sand-attack, headbutt, horn-attack, horn-drill, body-slam, take-down, double-edge, pin-missile, leer, bite, supersonic, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, submission, seismic-toss, rock-throw, toxic, rage, mimic, double-team, withdraw, reflect, bide, waterfall, skull-bash, spike-cannon, constrict, rest, rock-slide, substitute, thief, snore, curse, protect, spikes, icy-wind, sandstorm, endure, rollout, swagger, attract, sleep-talk, return, frustration, hidden-power, rain-dance, crunch, ancient-power, rock-smash, whirlpool, hail, facade, knock-off, secret-power, dive, rock-tomb, tickle, muddy-water, iron-defense, mud-shot, rock-blast, water-pulse, gyro-ball, brine, natural-gift, toxic-spikes, rock-polish, earth-power, giga-impact, rock-climb, stone-edge, captivate, stealth-rock, smack-down, round, scald, shell-smash, confide, liquidation, meteor-beam"""
140,kabuto,"""scratch, sand-attack, headbutt, body-slam, take-down, double-edge, leer, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, aurora-beam, absorb, mega-drain, rock-throw, dig, toxic, rage, mimic, screech, double-team, harden, confuse-ray, reflect, bide, waterfall, leech-life, rest, rock-slide, slash, substitute, thief, snore, curse, flail, protect, mud-slap, foresight, icy-wind, sandstorm, giga-drain, endure, rollout, swagger, attract, sleep-talk, return, frustration, rapid-spin, hidden-power, rain-dance, ancient-power, rock-smash, whirlpool, hail, facade, knock-off, secret-power, rock-tomb, metal-sound, aerial-ace, iron-defense, mud-shot, rock-blast, water-pulse, brine, natural-gift, wring-out, rock-polish, earth-power, stone-edge, captivate, stealth-rock, aqua-jet, hone-claws, smack-down, round, scald, confide, liquidation, meteor-beam"""
141,kabutops,"""scratch, razor-wind, swords-dance, cut, mega-kick, sand-attack, headbutt, body-slam, take-down, double-edge, leer, water-gun, hydro-pump, surf, ice-beam, blizzard, bubble-beam, hyper-beam, submission, low-kick, seismic-toss, absorb, mega-drain, rock-throw, dig, toxic, rage, mimic, screech, double-team, harden, confuse-ray, reflect, bide, waterfall, skull-bash, leech-life, rest, rock-slide, slash, substitute, thief, snore, curse, protect, mud-slap, icy-wind, sandstorm, giga-drain, endure, rollout, swagger, fury-cutter, attract, sleep-talk, return, frustration, hidden-power, rain-dance, ancient-power, rock-smash, whirlpool, hail, facade, nature-power, superpower, brick-break, knock-off, secret-power, dive, rock-tomb, metal-sound, aerial-ace, iron-defense, mud-shot, rock-blast, water-pulse, brine, natural-gift, feint, wring-out, rock-polish, night-slash, aqua-tail, x-scissor, earth-power, giga-impact, psycho-cut, rock-climb, cross-poison, stone-edge, captivate, stealth-rock, aqua-jet, hone-claws, smack-down, round, scald, razor-shell, confide, liquidation, meteor-beam, flip-turn"""
